feature,family,stage
fraction__teammate3__closest_time,forecast_interactions,research
fraction__teammate3__closest_distance,forecast_interactions,research
fraction__teammate3__ball_distance_advantage,forecast_interactions,research
fraction__teammate4__dx,forecast_interactions,research
fraction__teammate4__dy,forecast_interactions,research
fraction__teammate4__distance,forecast_interactions,research
fraction__teammate4__dvx,forecast_interactions,research
fraction__teammate4__dvy,forecast_interactions,research
fraction__teammate4__closing_speed,forecast_interactions,research
fraction__teammate4__closest_time,forecast_interactions,research
fraction__teammate4__closest_distance,forecast_interactions,research
fraction__teammate4__ball_distance_advantage,forecast_interactions,research
fraction__teammate5__dx,forecast_interactions,research
fraction__teammate5__dy,forecast_interactions,research
fraction__teammate5__distance,forecast_interactions,research
fraction__teammate5__dvx,forecast_interactions,research
fraction__teammate5__dvy,forecast_interactions,research
fraction__teammate5__closing_speed,forecast_interactions,research
fraction__teammate5__closest_time,forecast_interactions,research
fraction__teammate5__closest_distance,forecast_interactions,research
fraction__teammate5__ball_distance_advantage,forecast_interactions,research
fraction__teammate6__dx,forecast_interactions,research
fraction__teammate6__dy,forecast_interactions,research
fraction__teammate6__distance,forecast_interactions,research
fraction__teammate6__dvx,forecast_interactions,research
fraction__teammate6__dvy,forecast_interactions,research
fraction__teammate6__closing_speed,forecast_interactions,research
fraction__teammate6__closest_time,forecast_interactions,research
fraction__teammate6__closest_distance,forecast_interactions,research
fraction__teammate6__ball_distance_advantage,forecast_interactions,research
fraction__opponent1__dx,forecast_interactions,research
fraction__opponent1__dy,forecast_interactions,research
fraction__opponent1__distance,forecast_interactions,research
fraction__opponent1__dvx,forecast_interactions,research
fraction__opponent1__dvy,forecast_interactions,research
fraction__opponent1__closing_speed,forecast_interactions,research
fraction__opponent1__closest_time,forecast_interactions,research
fraction__opponent1__closest_distance,forecast_interactions,research
fraction__opponent1__ball_distance_advantage,forecast_interactions,research
fraction__opponent2__dx,forecast_interactions,research
fraction__opponent2__dy,forecast_interactions,research
fraction__opponent2__distance,forecast_interactions,research
fraction__opponent2__dvx,forecast_interactions,research
fraction__opponent2__dvy,forecast_interactions,research
fraction__opponent2__closing_speed,forecast_interactions,research
fraction__opponent2__closest_time,forecast_interactions,research
fraction__opponent2__closest_distance,forecast_interactions,research
fraction__opponent2__ball_distance_advantage,forecast_interactions,research
fraction__opponent3__dx,forecast_interactions,research
fraction__opponent3__dy,forecast_interactions,research
fraction__opponent3__distance,forecast_interactions,research
fraction__opponent3__dvx,forecast_interactions,research
fraction__opponent3__dvy,forecast_interactions,research
fraction__opponent3__closing_speed,forecast_interactions,research
fraction__opponent3__closest_time,forecast_interactions,research
fraction__opponent3__closest_distance,forecast_interactions,research
fraction__opponent3__ball_distance_advantage,forecast_interactions,research
fraction__opponent4__dx,forecast_interactions,research
fraction__opponent4__dy,forecast_interactions,research
fraction__opponent4__distance,forecast_interactions,research
fraction__opponent4__dvx,forecast_interactions,research
fraction__opponent4__dvy,forecast_interactions,research
fraction__opponent4__closing_speed,forecast_interactions,research
fraction__opponent4__closest_time,forecast_interactions,research
fraction__opponent4__closest_distance,forecast_interactions,research
fraction__opponent4__ball_distance_advantage,forecast_interactions,research
fraction__opponent5__dx,forecast_interactions,research
fraction__opponent5__dy,forecast_interactions,research
fraction__opponent5__distance,forecast_interactions,research
fraction__opponent5__dvx,forecast_interactions,research
fraction__opponent5__dvy,forecast_interactions,research
fraction__opponent5__closing_speed,forecast_interactions,research
fraction__opponent5__closest_time,forecast_interactions,research
fraction__opponent5__closest_distance,forecast_interactions,research
fraction__opponent5__ball_distance_advantage,forecast_interactions,research
fraction__opponent6__dx,forecast_interactions,research
fraction__opponent6__dy,forecast_interactions,research
fraction__opponent6__distance,forecast_interactions,research
fraction__opponent6__dvx,forecast_interactions,research
fraction__opponent6__dvy,forecast_interactions,research
fraction__opponent6__closing_speed,forecast_interactions,research
fraction__opponent6__closest_time,forecast_interactions,research
fraction__opponent6__closest_distance,forecast_interactions,research
fraction__opponent6__ball_distance_advantage,forecast_interactions,research
fraction__receiver1__dx,forecast_interactions,research
fraction__receiver1__dy,forecast_interactions,research
fraction__receiver1__distance,forecast_interactions,research
fraction__receiver1__dvx,forecast_interactions,research
fraction__receiver1__dvy,forecast_interactions,research
fraction__receiver1__closing_speed,forecast_interactions,research
fraction__receiver1__closest_time,forecast_interactions,research
fraction__receiver1__closest_distance,forecast_interactions,research
fraction__receiver1__ball_distance_advantage,forecast_interactions,research
fraction__passer1__dx,forecast_interactions,research
fraction__passer1__dy,forecast_interactions,research
fraction__passer1__distance,forecast_interactions,research
fraction__passer1__dvx,forecast_interactions,research
fraction__passer1__dvy,forecast_interactions,research
fraction__passer1__closing_speed,forecast_interactions,research
fraction__passer1__closest_time,forecast_interactions,research
fraction__passer1__closest_distance,forecast_interactions,research
fraction__passer1__ball_distance_advantage,forecast_interactions,research
fraction_squared__relative_x,forecast_interactions,research
fraction_squared__relative_y,forecast_interactions,research
fraction_squared__vx,forecast_interactions,research
fraction_squared__vy,forecast_interactions,research
fraction_squared__ax,forecast_interactions,research
fraction_squared__ay,forecast_interactions,research
fraction_squared__speed,forecast_interactions,research
fraction_squared__acceleration,forecast_interactions,research
fraction_squared__s,forecast_interactions,research
fraction_squared__a,forecast_interactions,research
fraction_squared__dir_sin,forecast_interactions,research
fraction_squared__dir_cos,forecast_interactions,research
fraction_squared__o_sin,forecast_interactions,research
fraction_squared__o_cos,forecast_interactions,research
fraction_squared__orientation_alignment,forecast_interactions,research
fraction_squared__ball_dx,forecast_interactions,research
fraction_squared__ball_dy,forecast_interactions,research
fraction_squared__ball_distance,forecast_interactions,research
fraction_squared__ball_ux,forecast_interactions,research
fraction_squared__ball_uy,forecast_interactions,research
fraction_squared__closing_speed,forecast_interactions,research
fraction_squared__lateral_speed,forecast_interactions,research
fraction_squared__radial_acceleration,forecast_interactions,research
fraction_squared__lateral_acceleration,forecast_interactions,research
fraction_squared__turn_rate,forecast_interactions,research
fraction_squared__jerk,forecast_interactions,research
fraction_squared__velocity_alignment,forecast_interactions,research
fraction_squared__sideline_distance,forecast_interactions,research
fraction_squared__teammate1__dx,forecast_interactions,research
fraction_squared__teammate1__dy,forecast_interactions,research
fraction_squared__teammate1__distance,forecast_interactions,research
fraction_squared__teammate1__dvx,forecast_interactions,research
fraction_squared__teammate1__dvy,forecast_interactions,research
fraction_squared__teammate1__closing_speed,forecast_interactions,research
fraction_squared__teammate1__closest_time,forecast_interactions,research
fraction_squared__teammate1__closest_distance,forecast_interactions,research
fraction_squared__teammate1__ball_distance_advantage,forecast_interactions,research
fraction_squared__teammate2__dx,forecast_interactions,research
fraction_squared__teammate2__dy,forecast_interactions,research
fraction_squared__teammate2__distance,forecast_interactions,research
fraction_squared__teammate2__dvx,forecast_interactions,research
fraction_squared__teammate2__dvy,forecast_interactions,research
fraction_squared__teammate2__closing_speed,forecast_interactions,research
fraction_squared__teammate2__closest_time,forecast_interactions,research
fraction_squared__teammate2__closest_distance,forecast_interactions,research
fraction_squared__teammate2__ball_distance_advantage,forecast_interactions,research
fraction_squared__teammate3__dx,forecast_interactions,research
fraction_squared__teammate3__dy,forecast_interactions,research
fraction_squared__teammate3__distance,forecast_interactions,research
fraction_squared__teammate3__dvx,forecast_interactions,research
fraction_squared__teammate3__dvy,forecast_interactions,research
fraction_squared__teammate3__closing_speed,forecast_interactions,research
fraction_squared__teammate3__closest_time,forecast_interactions,research
fraction_squared__teammate3__closest_distance,forecast_interactions,research
fraction_squared__teammate3__ball_distance_advantage,forecast_interactions,research
fraction_squared__teammate4__dx,forecast_interactions,research
fraction_squared__teammate4__dy,forecast_interactions,research
fraction_squared__teammate4__distance,forecast_interactions,research
fraction_squared__teammate4__dvx,forecast_interactions,research
fraction_squared__teammate4__dvy,forecast_interactions,research
fraction_squared__teammate4__closing_speed,forecast_interactions,research
fraction_squared__teammate4__closest_time,forecast_interactions,research
fraction_squared__teammate4__closest_distance,forecast_interactions,research
fraction_squared__teammate4__ball_distance_advantage,forecast_interactions,research
fraction_squared__teammate5__dx,forecast_interactions,research
fraction_squared__teammate5__dy,forecast_interactions,research
fraction_squared__teammate5__distance,forecast_interactions,research
fraction_squared__teammate5__dvx,forecast_interactions,research
fraction_squared__teammate5__dvy,forecast_interactions,research
fraction_squared__teammate5__closing_speed,forecast_interactions,research
fraction_squared__teammate5__closest_time,forecast_interactions,research
fraction_squared__teammate5__closest_distance,forecast_interactions,research
fraction_squared__teammate5__ball_distance_advantage,forecast_interactions,research
fraction_squared__teammate6__dx,forecast_interactions,research
fraction_squared__teammate6__dy,forecast_interactions,research
fraction_squared__teammate6__distance,forecast_interactions,research
fraction_squared__teammate6__dvx,forecast_interactions,research
fraction_squared__teammate6__dvy,forecast_interactions,research
fraction_squared__teammate6__closing_speed,forecast_interactions,research
fraction_squared__teammate6__closest_time,forecast_interactions,research
fraction_squared__teammate6__closest_distance,forecast_interactions,research
fraction_squared__teammate6__ball_distance_advantage,forecast_interactions,research
fraction_squared__opponent1__dx,forecast_interactions,research
fraction_squared__opponent1__dy,forecast_interactions,research
fraction_squared__opponent1__distance,forecast_interactions,research
fraction_squared__opponent1__dvx,forecast_interactions,research
fraction_squared__opponent1__dvy,forecast_interactions,research
fraction_squared__opponent1__closing_speed,forecast_interactions,research
fraction_squared__opponent1__closest_time,forecast_interactions,research
fraction_squared__opponent1__closest_distance,forecast_interactions,research
fraction_squared__opponent1__ball_distance_advantage,forecast_interactions,research
fraction_squared__opponent2__dx,forecast_interactions,research
fraction_squared__opponent2__dy,forecast_interactions,research
fraction_squared__opponent2__distance,forecast_interactions,research
fraction_squared__opponent2__dvx,forecast_interactions,research
fraction_squared__opponent2__dvy,forecast_interactions,research
fraction_squared__opponent2__closing_speed,forecast_interactions,research
fraction_squared__opponent2__closest_time,forecast_interactions,research
fraction_squared__opponent2__closest_distance,forecast_interactions,research
fraction_squared__opponent2__ball_distance_advantage,forecast_interactions,research
fraction_squared__opponent3__dx,forecast_interactions,research
fraction_squared__opponent3__dy,forecast_interactions,research
fraction_squared__opponent3__distance,forecast_interactions,research
fraction_squared__opponent3__dvx,forecast_interactions,research
fraction_squared__opponent3__dvy,forecast_interactions,research
fraction_squared__opponent3__closing_speed,forecast_interactions,research
fraction_squared__opponent3__closest_time,forecast_interactions,research
fraction_squared__opponent3__closest_distance,forecast_interactions,research
fraction_squared__opponent3__ball_distance_advantage,forecast_interactions,research
fraction_squared__opponent4__dx,forecast_interactions,research
fraction_squared__opponent4__dy,forecast_interactions,research
fraction_squared__opponent4__distance,forecast_interactions,research
fraction_squared__opponent4__dvx,forecast_interactions,research
fraction_squared__opponent4__dvy,forecast_interactions,research
fraction_squared__opponent4__closing_speed,forecast_interactions,research
fraction_squared__opponent4__closest_time,forecast_interactions,research
fraction_squared__opponent4__closest_distance,forecast_interactions,research
fraction_squared__opponent4__ball_distance_advantage,forecast_interactions,research
fraction_squared__opponent5__dx,forecast_interactions,research
fraction_squared__opponent5__dy,forecast_interactions,research
fraction_squared__opponent5__distance,forecast_interactions,research
fraction_squared__opponent5__dvx,forecast_interactions,research
fraction_squared__opponent5__dvy,forecast_interactions,research
fraction_squared__opponent5__closing_speed,forecast_interactions,research
fraction_squared__opponent5__closest_time,forecast_interactions,research
fraction_squared__opponent5__closest_distance,forecast_interactions,research
fraction_squared__opponent5__ball_distance_advantage,forecast_interactions,research
fraction_squared__opponent6__dx,forecast_interactions,research
fraction_squared__opponent6__dy,forecast_interactions,research
fraction_squared__opponent6__distance,forecast_interactions,research
fraction_squared__opponent6__dvx,forecast_interactions,research
fraction_squared__opponent6__dvy,forecast_interactions,research
fraction_squared__opponent6__closing_speed,forecast_interactions,research
fraction_squared__opponent6__closest_time,forecast_interactions,research
fraction_squared__opponent6__closest_distance,forecast_interactions,research
fraction_squared__opponent6__ball_distance_advantage,forecast_interactions,research
fraction_squared__receiver1__dx,forecast_interactions,research
fraction_squared__receiver1__dy,forecast_interactions,research
fraction_squared__receiver1__distance,forecast_interactions,research
fraction_squared__receiver1__dvx,forecast_interactions,research
fraction_squared__receiver1__dvy,forecast_interactions,research
fraction_squared__receiver1__closing_speed,forecast_interactions,research
fraction_squared__receiver1__closest_time,forecast_interactions,research
fraction_squared__receiver1__closest_distance,forecast_interactions,research
fraction_squared__receiver1__ball_distance_advantage,forecast_interactions,research
fraction_squared__passer1__dx,forecast_interactions,research
fraction_squared__passer1__dy,forecast_interactions,research
fraction_squared__passer1__distance,forecast_interactions,research
fraction_squared__passer1__dvx,forecast_interactions,research
fraction_squared__passer1__dvy,forecast_interactions,research
fraction_squared__passer1__closing_speed,forecast_interactions,research
fraction_squared__passer1__closest_time,forecast_interactions,research
fraction_squared__passer1__closest_distance,forecast_interactions,research
fraction_squared__passer1__ball_distance_advantage,forecast_interactions,research
contrast03_05__relative_x__mean,multiscale,research
contrast03_05__relative_x__std,multiscale,research
contrast03_05__relative_x__slope,multiscale,research
contrast05_08__relative_x__mean,multiscale,research
contrast05_08__relative_x__std,multiscale,research
contrast05_08__relative_x__slope,multiscale,research
contrast08_12__relative_x__mean,multiscale,research
contrast08_12__relative_x__std,multiscale,research
contrast08_12__relative_x__slope,multiscale,research
contrast12_20__relative_x__mean,multiscale,research
contrast12_20__relative_x__std,multiscale,research
contrast12_20__relative_x__slope,multiscale,research
contrast20_30__relative_x__mean,multiscale,research
contrast20_30__relative_x__std,multiscale,research
contrast20_30__relative_x__slope,multiscale,research
contrast30_40__relative_x__mean,multiscale,research
contrast30_40__relative_x__std,multiscale,research
contrast30_40__relative_x__slope,multiscale,research
signed_log__relative_x,nonlinear,research
bounded__relative_x,nonlinear,research
energy__relative_x,nonlinear,research
contrast03_05__relative_y__mean,multiscale,research
contrast03_05__relative_y__std,multiscale,research
contrast03_05__relative_y__slope,multiscale,research
contrast05_08__relative_y__mean,multiscale,research
contrast05_08__relative_y__std,multiscale,research
contrast05_08__relative_y__slope,multiscale,research
contrast08_12__relative_y__mean,multiscale,research
contrast08_12__relative_y__std,multiscale,research
contrast08_12__relative_y__slope,multiscale,research
contrast12_20__relative_y__mean,multiscale,research
contrast12_20__relative_y__std,multiscale,research
contrast12_20__relative_y__slope,multiscale,research
contrast20_30__relative_y__mean,multiscale,research
contrast20_30__relative_y__std,multiscale,research
contrast20_30__relative_y__slope,multiscale,research
contrast30_40__relative_y__mean,multiscale,research
contrast30_40__relative_y__std,multiscale,research
contrast30_40__relative_y__slope,multiscale,research
signed_log__relative_y,nonlinear,research
bounded__relative_y,nonlinear,research
energy__relative_y,nonlinear,research
contrast03_05__vx__mean,multiscale,research
contrast03_05__vx__std,multiscale,research
contrast03_05__vx__slope,multiscale,research
contrast05_08__vx__mean,multiscale,research
contrast05_08__vx__std,multiscale,research
contrast05_08__vx__slope,multiscale,research
contrast08_12__vx__mean,multiscale,research
contrast08_12__vx__std,multiscale,research
contrast08_12__vx__slope,multiscale,research
contrast12_20__vx__mean,multiscale,research
contrast12_20__vx__std,multiscale,research
contrast12_20__vx__slope,multiscale,research
contrast20_30__vx__mean,multiscale,research
contrast20_30__vx__std,multiscale,research
contrast20_30__vx__slope,multiscale,research
contrast30_40__vx__mean,multiscale,research
contrast30_40__vx__std,multiscale,research
contrast30_40__vx__slope,multiscale,research
signed_log__vx,nonlinear,research
bounded__vx,nonlinear,research
energy__vx,nonlinear,research
contrast03_05__vy__mean,multiscale,research
contrast03_05__vy__std,multiscale,research
contrast03_05__vy__slope,multiscale,research
contrast05_08__vy__mean,multiscale,research
contrast05_08__vy__std,multiscale,research
contrast05_08__vy__slope,multiscale,research
contrast08_12__vy__mean,multiscale,research
contrast08_12__vy__std,multiscale,research
contrast08_12__vy__slope,multiscale,research
contrast12_20__vy__mean,multiscale,research
contrast12_20__vy__std,multiscale,research
contrast12_20__vy__slope,multiscale,research
contrast20_30__vy__mean,multiscale,research
contrast20_30__vy__std,multiscale,research
contrast20_30__vy__slope,multiscale,research
contrast30_40__vy__mean,multiscale,research
contrast30_40__vy__std,multiscale,research
contrast30_40__vy__slope,multiscale,research
signed_log__vy,nonlinear,research
bounded__vy,nonlinear,research
energy__vy,nonlinear,research
contrast03_05__ax__mean,multiscale,research
contrast03_05__ax__std,multiscale,research
contrast03_05__ax__slope,multiscale,research
contrast05_08__ax__mean,multiscale,research
contrast05_08__ax__std,multiscale,research
contrast05_08__ax__slope,multiscale,research
contrast08_12__ax__mean,multiscale,research
contrast08_12__ax__std,multiscale,research
contrast08_12__ax__slope,multiscale,research
contrast12_20__ax__mean,multiscale,research
contrast12_20__ax__std,multiscale,research
contrast12_20__ax__slope,multiscale,research
contrast20_30__ax__mean,multiscale,research
contrast20_30__ax__std,multiscale,research
contrast20_30__ax__slope,multiscale,research
contrast30_40__ax__mean,multiscale,research
contrast30_40__ax__std,multiscale,research
contrast30_40__ax__slope,multiscale,research
signed_log__ax,nonlinear,research
bounded__ax,nonlinear,research
energy__ax,nonlinear,research
contrast03_05__ay__mean,multiscale,research
contrast03_05__ay__std,multiscale,research
contrast03_05__ay__slope,multiscale,research
contrast05_08__ay__mean,multiscale,research
contrast05_08__ay__std,multiscale,research
contrast05_08__ay__slope,multiscale,research
contrast08_12__ay__mean,multiscale,research
contrast08_12__ay__std,multiscale,research
contrast08_12__ay__slope,multiscale,research
contrast12_20__ay__mean,multiscale,research
contrast12_20__ay__std,multiscale,research
contrast12_20__ay__slope,multiscale,research
contrast20_30__ay__mean,multiscale,research
contrast20_30__ay__std,multiscale,research
contrast20_30__ay__slope,multiscale,research
contrast30_40__ay__mean,multiscale,research
contrast30_40__ay__std,multiscale,research
contrast30_40__ay__slope,multiscale,research
signed_log__ay,nonlinear,research
bounded__ay,nonlinear,research
energy__ay,nonlinear,research
contrast03_05__speed__mean,multiscale,research
contrast03_05__speed__std,multiscale,research
contrast03_05__speed__slope,multiscale,research
contrast05_08__speed__mean,multiscale,research
contrast05_08__speed__std,multiscale,research
contrast05_08__speed__slope,multiscale,research
contrast08_12__speed__mean,multiscale,research
contrast08_12__speed__std,multiscale,research
contrast08_12__speed__slope,multiscale,research
contrast12_20__speed__mean,multiscale,research
contrast12_20__speed__std,multiscale,research
contrast12_20__speed__slope,multiscale,research
contrast20_30__speed__mean,multiscale,research
contrast20_30__speed__std,multiscale,research
contrast20_30__speed__slope,multiscale,research
contrast30_40__speed__mean,multiscale,research
contrast30_40__speed__std,multiscale,research
contrast30_40__speed__slope,multiscale,research
signed_log__speed,nonlinear,research
bounded__speed,nonlinear,research
energy__speed,nonlinear,research
contrast03_05__acceleration__mean,multiscale,research
contrast03_05__acceleration__std,multiscale,research
contrast03_05__acceleration__slope,multiscale,research
contrast05_08__acceleration__mean,multiscale,research
contrast05_08__acceleration__std,multiscale,research
contrast05_08__acceleration__slope,multiscale,research
contrast08_12__acceleration__mean,multiscale,research
contrast08_12__acceleration__std,multiscale,research
contrast08_12__acceleration__slope,multiscale,research
contrast12_20__acceleration__mean,multiscale,research
contrast12_20__acceleration__std,multiscale,research
contrast12_20__acceleration__slope,multiscale,research
contrast20_30__acceleration__mean,multiscale,research
contrast20_30__acceleration__std,multiscale,research
contrast20_30__acceleration__slope,multiscale,research
contrast30_40__acceleration__mean,multiscale,research
contrast30_40__acceleration__std,multiscale,research
contrast30_40__acceleration__slope,multiscale,research
signed_log__acceleration,nonlinear,research
bounded__acceleration,nonlinear,research
energy__acceleration,nonlinear,research
contrast03_05__s__mean,multiscale,research
contrast03_05__s__std,multiscale,research
contrast03_05__s__slope,multiscale,research
contrast05_08__s__mean,multiscale,research
contrast05_08__s__std,multiscale,research
contrast05_08__s__slope,multiscale,research
contrast08_12__s__mean,multiscale,research
contrast08_12__s__std,multiscale,research
contrast08_12__s__slope,multiscale,research
contrast12_20__s__mean,multiscale,research
contrast12_20__s__std,multiscale,research
contrast12_20__s__slope,multiscale,research
contrast20_30__s__mean,multiscale,research
contrast20_30__s__std,multiscale,research
contrast20_30__s__slope,multiscale,research
contrast30_40__s__mean,multiscale,research
contrast30_40__s__std,multiscale,research
contrast30_40__s__slope,multiscale,research
signed_log__s,nonlinear,research
bounded__s,nonlinear,research
energy__s,nonlinear,research
contrast03_05__a__mean,multiscale,research
contrast03_05__a__std,multiscale,research
contrast03_05__a__slope,multiscale,research
contrast05_08__a__mean,multiscale,research
contrast05_08__a__std,multiscale,research
contrast05_08__a__slope,multiscale,research
contrast08_12__a__mean,multiscale,research
contrast08_12__a__std,multiscale,research
contrast08_12__a__slope,multiscale,research
contrast12_20__a__mean,multiscale,research
contrast12_20__a__std,multiscale,research
contrast12_20__a__slope,multiscale,research
contrast20_30__a__mean,multiscale,research
contrast20_30__a__std,multiscale,research
contrast20_30__a__slope,multiscale,research
contrast30_40__a__mean,multiscale,research
contrast30_40__a__std,multiscale,research
contrast30_40__a__slope,multiscale,research
signed_log__a,nonlinear,research
bounded__a,nonlinear,research
energy__a,nonlinear,research
contrast03_05__dir_sin__mean,multiscale,research
contrast03_05__dir_sin__std,multiscale,research
contrast03_05__dir_sin__slope,multiscale,research
contrast05_08__dir_sin__mean,multiscale,research
contrast05_08__dir_sin__std,multiscale,research
contrast05_08__dir_sin__slope,multiscale,research
contrast08_12__dir_sin__mean,multiscale,research
contrast08_12__dir_sin__std,multiscale,research
contrast08_12__dir_sin__slope,multiscale,research
contrast12_20__dir_sin__mean,multiscale,research
contrast12_20__dir_sin__std,multiscale,research
contrast12_20__dir_sin__slope,multiscale,research
contrast20_30__dir_sin__mean,multiscale,research
contrast20_30__dir_sin__std,multiscale,research
contrast20_30__dir_sin__slope,multiscale,research
contrast30_40__dir_sin__mean,multiscale,research
contrast30_40__dir_sin__std,multiscale,research
contrast30_40__dir_sin__slope,multiscale,research
signed_log__dir_sin,nonlinear,research
bounded__dir_sin,nonlinear,research
energy__dir_sin,nonlinear,research
contrast03_05__dir_cos__mean,multiscale,research
contrast03_05__dir_cos__std,multiscale,research
contrast03_05__dir_cos__slope,multiscale,research
contrast05_08__dir_cos__mean,multiscale,research
contrast05_08__dir_cos__std,multiscale,research
contrast05_08__dir_cos__slope,multiscale,research
contrast08_12__dir_cos__mean,multiscale,research
contrast08_12__dir_cos__std,multiscale,research
contrast08_12__dir_cos__slope,multiscale,research
contrast12_20__dir_cos__mean,multiscale,research
contrast12_20__dir_cos__std,multiscale,research
contrast12_20__dir_cos__slope,multiscale,research
contrast20_30__dir_cos__mean,multiscale,research
contrast20_30__dir_cos__std,multiscale,research
contrast20_30__dir_cos__slope,multiscale,research
contrast30_40__dir_cos__mean,multiscale,research
contrast30_40__dir_cos__std,multiscale,research
contrast30_40__dir_cos__slope,multiscale,research
signed_log__dir_cos,nonlinear,research
bounded__dir_cos,nonlinear,research
energy__dir_cos,nonlinear,research
contrast03_05__o_sin__mean,multiscale,research
contrast03_05__o_sin__std,multiscale,research
contrast03_05__o_sin__slope,multiscale,research
contrast05_08__o_sin__mean,multiscale,research
contrast05_08__o_sin__std,multiscale,research
contrast05_08__o_sin__slope,multiscale,research
contrast08_12__o_sin__mean,multiscale,research
contrast08_12__o_sin__std,multiscale,research
contrast08_12__o_sin__slope,multiscale,research
contrast12_20__o_sin__mean,multiscale,research
contrast12_20__o_sin__std,multiscale,research
contrast12_20__o_sin__slope,multiscale,research
contrast20_30__o_sin__mean,multiscale,research
contrast20_30__o_sin__std,multiscale,research
contrast20_30__o_sin__slope,multiscale,research
contrast30_40__o_sin__mean,multiscale,research
contrast30_40__o_sin__std,multiscale,research
contrast30_40__o_sin__slope,multiscale,research
signed_log__o_sin,nonlinear,research
bounded__o_sin,nonlinear,research
energy__o_sin,nonlinear,research
contrast03_05__o_cos__mean,multiscale,research
contrast03_05__o_cos__std,multiscale,research
contrast03_05__o_cos__slope,multiscale,research
contrast05_08__o_cos__mean,multiscale,research
contrast05_08__o_cos__std,multiscale,research
contrast05_08__o_cos__slope,multiscale,research
contrast08_12__o_cos__mean,multiscale,research
contrast08_12__o_cos__std,multiscale,research
contrast08_12__o_cos__slope,multiscale,research
contrast12_20__o_cos__mean,multiscale,research
contrast12_20__o_cos__std,multiscale,research
contrast12_20__o_cos__slope,multiscale,research
contrast20_30__o_cos__mean,multiscale,research
contrast20_30__o_cos__std,multiscale,research
contrast20_30__o_cos__slope,multiscale,research
contrast30_40__o_cos__mean,multiscale,research
contrast30_40__o_cos__std,multiscale,research
contrast30_40__o_cos__slope,multiscale,research
signed_log__o_cos,nonlinear,research
bounded__o_cos,nonlinear,research
energy__o_cos,nonlinear,research
contrast03_05__orientation_alignment__mean,multiscale,research
contrast03_05__orientation_alignment__std,multiscale,research
contrast03_05__orientation_alignment__slope,multiscale,research
contrast05_08__orientation_alignment__mean,multiscale,research
contrast05_08__orientation_alignment__std,multiscale,research
contrast05_08__orientation_alignment__slope,multiscale,research
contrast08_12__orientation_alignment__mean,multiscale,research
contrast08_12__orientation_alignment__std,multiscale,research
contrast08_12__orientation_alignment__slope,multiscale,research
contrast12_20__orientation_alignment__mean,multiscale,research
contrast12_20__orientation_alignment__std,multiscale,research
contrast12_20__orientation_alignment__slope,multiscale,research
contrast20_30__orientation_alignment__mean,multiscale,research
contrast20_30__orientation_alignment__std,multiscale,research
contrast20_30__orientation_alignment__slope,multiscale,research
contrast30_40__orientation_alignment__mean,multiscale,research
contrast30_40__orientation_alignment__std,multiscale,research
contrast30_40__orientation_alignment__slope,multiscale,research
signed_log__orientation_alignment,nonlinear,research
bounded__orientation_alignment,nonlinear,research
energy__orientation_alignment,nonlinear,research
contrast03_05__ball_dx__mean,multiscale,research
contrast03_05__ball_dx__std,multiscale,research
contrast03_05__ball_dx__slope,multiscale,research
contrast05_08__ball_dx__mean,multiscale,research
contrast05_08__ball_dx__std,multiscale,research
contrast05_08__ball_dx__slope,multiscale,research
contrast08_12__ball_dx__mean,multiscale,research
contrast08_12__ball_dx__std,multiscale,research
contrast08_12__ball_dx__slope,multiscale,research
contrast12_20__ball_dx__mean,multiscale,research
contrast12_20__ball_dx__std,multiscale,research
contrast12_20__ball_dx__slope,multiscale,research
contrast20_30__ball_dx__mean,multiscale,research
contrast20_30__ball_dx__std,multiscale,research
contrast20_30__ball_dx__slope,multiscale,research
contrast30_40__ball_dx__mean,multiscale,research
contrast30_40__ball_dx__std,multiscale,research
contrast30_40__ball_dx__slope,multiscale,research
signed_log__ball_dx,nonlinear,research
bounded__ball_dx,nonlinear,research
energy__ball_dx,nonlinear,research
contrast03_05__ball_dy__mean,multiscale,research
contrast03_05__ball_dy__std,multiscale,research
contrast03_05__ball_dy__slope,multiscale,research
contrast05_08__ball_dy__mean,multiscale,research
contrast05_08__ball_dy__std,multiscale,research
contrast05_08__ball_dy__slope,multiscale,research
contrast08_12__ball_dy__mean,multiscale,research
contrast08_12__ball_dy__std,multiscale,research
contrast08_12__ball_dy__slope,multiscale,research
contrast12_20__ball_dy__mean,multiscale,research
contrast12_20__ball_dy__std,multiscale,research
contrast12_20__ball_dy__slope,multiscale,research
contrast20_30__ball_dy__mean,multiscale,research
contrast20_30__ball_dy__std,multiscale,research
contrast20_30__ball_dy__slope,multiscale,research
contrast30_40__ball_dy__mean,multiscale,research
contrast30_40__ball_dy__std,multiscale,research
contrast30_40__ball_dy__slope,multiscale,research
signed_log__ball_dy,nonlinear,research
bounded__ball_dy,nonlinear,research
energy__ball_dy,nonlinear,research
contrast03_05__ball_distance__mean,multiscale,research
contrast03_05__ball_distance__std,multiscale,research
contrast03_05__ball_distance__slope,multiscale,research
contrast05_08__ball_distance__mean,multiscale,research
contrast05_08__ball_distance__std,multiscale,research
contrast05_08__ball_distance__slope,multiscale,research
contrast08_12__ball_distance__mean,multiscale,research
contrast08_12__ball_distance__std,multiscale,research
contrast08_12__ball_distance__slope,multiscale,research
contrast12_20__ball_distance__mean,multiscale,research
