feature,family,availability,meaning,leakage_guard
opponent_1__lag00__value__dx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag02__valid__lateral,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag02__valid__alignment,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag05__value__dx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag05__value__dy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag05__value__dvx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag05__value__dvy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag05__value__distance,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag05__value__closing,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag05__value__lateral,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag05__value__alignment,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag05__valid__dx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag05__valid__dy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag05__valid__dvx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag05__valid__dvy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag05__valid__distance,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag05__valid__closing,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag05__valid__lateral,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag05__valid__alignment,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag10__value__dx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag10__value__dy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag10__value__dvx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag10__value__dvy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag10__value__distance,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag10__value__closing,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag10__value__lateral,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag10__value__alignment,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag10__valid__dx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag10__valid__dy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag10__valid__dvx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag10__valid__dvy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag10__valid__distance,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag10__valid__closing,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag10__valid__lateral,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag10__valid__alignment,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag19__value__dx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag19__value__dy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag19__value__dvx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag19__value__dvy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag19__value__distance,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag19__value__closing,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag19__value__lateral,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag19__value__alignment,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag19__valid__dx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag19__valid__dy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag19__valid__dvx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag19__valid__dvy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag19__valid__distance,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag19__valid__closing,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag19__valid__lateral,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__lag19__valid__alignment,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag00__value__dx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag00__value__dy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag00__value__dvx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag00__value__dvy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag00__value__distance,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag00__value__closing,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag00__value__lateral,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag00__value__alignment,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag00__valid__dx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag00__valid__dy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag00__valid__dvx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag00__valid__dvy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag00__valid__distance,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag00__valid__closing,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag00__valid__lateral,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag00__valid__alignment,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag02__value__dx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag02__value__dy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag02__value__dvx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag02__value__dvy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag02__value__distance,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag02__value__closing,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag02__value__lateral,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag02__value__alignment,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag02__valid__dx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag02__valid__dy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag02__valid__dvx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag02__valid__dvy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag02__valid__distance,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag02__valid__closing,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag02__valid__lateral,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag02__valid__alignment,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag05__value__dx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag05__value__dy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag05__value__dvx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag05__value__dvy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag05__value__distance,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag05__value__closing,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag05__value__lateral,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag05__value__alignment,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag05__valid__dx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag05__valid__dy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag05__valid__dvx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag05__valid__dvy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag05__valid__distance,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag05__valid__closing,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag05__valid__lateral,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag05__valid__alignment,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag10__value__dx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag10__value__dy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag10__value__dvx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag10__value__dvy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag10__value__distance,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag10__value__closing,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag10__value__lateral,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag10__value__alignment,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag10__valid__dx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag10__valid__dy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag10__valid__dvx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag10__valid__dvy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag10__valid__distance,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag10__valid__closing,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag10__valid__lateral,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag10__valid__alignment,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag19__value__dx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag19__value__dy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag19__value__dvx,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag19__value__dvy,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag19__value__distance,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag19__value__closing,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag19__value__lateral,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag19__value__alignment,paired_observed_history,prethrow observed inputs only,Pair-channel value in fixed physical scale,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag19__valid__dx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag19__valid__dy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag19__valid__dvx,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag19__valid__dvy,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag19__valid__distance,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag19__valid__closing,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag19__valid__lateral,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__lag19__valid__alignment,paired_observed_history,prethrow observed inputs only,Explicit measurement validity,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_1__joint_age_seconds,paired_observed_history,prethrow observed inputs only,Joint observation age,Fixed player identities; common masks; no future player positions or fitted statistics
opponent_2__joint_age_seconds,paired_observed_history,prethrow observed inputs only,Joint observation age,Fixed player identities; common masks; no future player positions or fitted statistics
teammate_1__joint_age_seconds,paired_observed_history,prethrow observed inputs only,Joint observation age,Fixed player identities; common masks; no future player positions or fitted statistics
targeted_receiver__joint_age_seconds,paired_observed_history,prethrow observed inputs only,Joint observation age,Fixed player identities; common masks; no future player positions or fitted statistics
